Designator,Mid X,Mid Y,Rotation,Layer
SW1,118.7,-78.71,0.0,top
SW2,118.66,-97.71,0.0,top
SW3,118.6,-116.81,0.0,top
SW4,137.7,-78.71,0.0,top
SW5,137.72,-97.71,0.0,top
SW6,137.7,-116.81,0.0,top
SW7,156.8,-78.71,0.0,top
SW8,156.8,-97.71,0.0,top
SW9,156.8,-116.81,0.0,top
U1,137.98,-59.68,0.0,top
